,NO,song,group,lyrics
0,1,ANTIFRAGILE (song),Le Sserafim,anti ti ti ti fragile fragile anti ti ti ti fragile anti ti ti ti fragile fragile antifragile antifragile trail thorns made boost party packed lies dont even burn much talk behind back rivals never knew pray day im falling onto hands imma jump gim like majestic lion eyes glinting much desire gasoline fire fly rising flames forget pointe shoes left behind must said underestimate path ive walked go ride till die die climb higher top world itched biggie fall im antifragile antifragile im way toss away fairy tale know name im antifragile antifragile anti ti ti ti fragile fragile anti ti ti ti fragile anti ti ti ti fragile fragile antifragile antifragile lovey lovey dovey dovey dovey defining however youd like dont know say cant feel attention welcome cute jealousy go ahead puppets thanks song ill build future gim like majestic lion eyes glinting much desire gasoline fire fly rising flames forget pointe shoes left behind must said underestimate path ive walked go ride till die die climb higher top world itched biggie fall im antifragile antifragile im way toss away fairy tale know name im antifragile antifragile anti ti ti ti fragile fragile anti ti ti ti fragile anti ti ti ti fragile fragile antifragile antifragile break baby rock twist lock baby know cant chain im gon na break gon na gon na break break baby rock twist lock baby know cant chain im gon na break gon na gon na break climb higher top world itched biggie fall im antifragile antifragile im way toss away fairy tale know name im antifragile antifragile anti ti ti ti fragile fragile anti ti ti ti fragile anti ti ti ti fragile fragile antifragile antifragile
1,6,Blue Flame,Le Sserafim,like ill like like feeling something like im possessed woozy glare afar force leads fog even hotter flame blue arbitrarily disappeared like ill like like woozy blue light turned splendidly oh point burn hands crossing unknown boundaries spread end quite beautiful free day long burns cant stop desire wisp babe oh baby blue flame wisp babe faction wisp babe oh baby blue flame wisp babe faction unknown veil hides fear darkness sees glow get matter whats blue curiosity arbitrarily disappeared like ill like like woozy blue light turned splendidly oh point burn hands crossing unknown boundaries spread end quite beautiful free day long burns cant stop desire wisp babe oh baby blue flame wisp babe faction wisp babe oh baby blue flame wisp babe faction collapsing limit feels thrilling deep carried away moment first saw mysterious light like youve waiting im burning dazzlingly point burn hands crossing unknown boundaries spread end quite beautiful free day long burns cant stop desire wisp babe oh baby blue flame wisp babe faction wisp babe oh baby blue flame wisp babe faction poem ot5 singer hangulpoem like ill like like feeling something 난 홀린 듯이 아득히 어지러운 눈부심 날 이끄는 힘 even 불꽃보다 뜨거운 blue 춤을 추다 사라지고 like ill like like 푸른 빛은 화려해져 oh 데일만큼 뜨겁도록 타올라 더 경계를 넘어 펼쳐지는 unknown 저 끝까지 날이 제법 아름다워 타오른 이상 멈출 수는 없어 desire wisp babe oh baby blue flame wisp babe faction wisp babe oh baby blue flame wisp babe faction 두려움에 감춰 있던 베일이 어둠이 벗어나 glow 너머에 뭐가 있든지 푸른 호기심일 뿐인걸 춤을 추다 사라지고 like ill like like 푸른 빛은 화려해져 oh 데일만큼 뜨겁도록 타올라 더 경계를 넘어 펼쳐지는 unknown 저 끝까지 날이 제법 아름다워 타오른 이상 멈출 수는 없어 desire wisp babe oh baby blue flame wisp babe faction wisp babe oh baby blue flame wisp babe faction limit 기분은 thrilling 나를 파고들어 본 순간부터 이끌린 오묘한 색의 빛 속 기다린 듯 im burning shine 데일만큼 뜨겁도록 타올라 더 경계를 넘어 펼쳐지는 unknown 저 끝까지 날이 제법 아름다워 타오른 이상 멈출 수는 없어 desire wisp babe oh baby blue flame wisp babe faction wisp babe oh baby blue flame wisp babe faction poem romanizationpoem like ill like like feeling something nan hollin deushi adeukhi eojireoun nunbushim nal ikkeuneun even bulkkochboda tteugeoun blue chumeul chuda sarajigo like ill like like pureunbicheun hwaryeohaejyeo oh deilmankeum tteugeopdorok taolla deo gyeonggyereul neomeo pyeolchyeojineun unknown jeo kkeutkkaji nari jebeop areumdaweo taoreun isang meomchul suneun eopseo desire wisp babe oh baby blue flame wisp babe faction wisp babe oh baby blue flame wisp babe faction duryeoume gamchweo itteon beili eodumi beoseona glow neomeoe mweoga itteunji pureun hogishimil ppuningeol chumeul chuda sarajigo like ill like like pureunbicheun hwaryeohaejyeo oh deilmankeum tteugeopdorok taolla deo gyeonggyereul neomeo pyeolchyeojineun unknown jeo kkeutkkaji nari jebeop areumdaweo taoreun isang meomchul suneun eopseo desire wisp babe oh baby blue flame wisp babe faction wisp babe oh baby blue flame wisp babe faction limit gibuneun thrilling nareul pagodeureo bon sunganbuteo ikkeullin omyohan saege bit sok gidarin deut im burning shine deilmankeum tteugeopdorok taolla deo gyeonggyereul neomeo pyeolchyeojineun unknown jeo kkeutkkaji nari jebeop areumdaweo taoreun isang meomchul suneun eopseo desire wisp babe oh baby blue flame wisp babe faction wisp babe oh baby blue flame wisp babe faction poem englishpoem like ill like like feeling something like im possessed woozy glare afar force leads fog even hotter flame blue arbitrarily disappeared like ill like like woozy blue light turned splendidly oh point burn hands crossing unknown boundaries spread end quite beautiful free day long burns cant stop desire wisp babe oh baby blue flame wisp babe faction wisp babe oh baby blue flame wisp babe faction unknown veil hides fear darkness sees glow get matter whats blue curiosity arbitrarily disappeared like ill like like woozy blue light turned splendidly oh point burn hands crossing unknown boundaries spread end quite beautiful free day long burns cant stop desire wisp babe oh baby blue flame wisp babe faction wisp babe oh baby blue flame wisp babe faction collapsing limit feels thrilling deep carried away moment first saw mysterious light like youve waiting im burning dazzlingly point burn hands crossing unknown boundaries spread end quite beautiful free day long burns cant stop desire wisp babe oh baby blue flame wisp babe faction wisp babe oh baby blue flame wisp babe faction
2,7,Sour Grapes,Le Sserafim,ru ru ru ru du du yeah dont know either sweet im mouthwatered love staring long time im waiting fall hands want easily romantic fairy tale climb ladder feel dizzy feet even stretch arms little longer cant reach even lift heels cant held one hand im one whos going get hurt youll hurt bittersweet dont wan na taste dont think gon na sweet halfbaked emotions feel afraid ill never bite ill never bite pain taste makes cry thats love dont want taste feel afraid love sour love sour grapes eyes wandered around sometimes heart trembled first time heart feels like wondering could take bite ones eyes drawn red fruit imagine grapes ends branches sweet even narrow distance one step time cant hold hand top ladder dont want one gets hurt youll hurt bitter dont wan na taste well dont think gon na sweet halfbaked emotions feel afraid ill never bite ill never bite pain taste makes cry thats love dont want taste feel afraid love sour love sour grapes get wrong never really liked dont feel bit sorry lie day night ripe yet maybe right time green still ripe scent im feeling scared im feeling scared yeah taste makes cry thats love dont want taste feel afraid love sour love sour grapes poem ot5 singer hangulpoem ru ru ru ru du du yeah 나도 모르게 달콤해 난 침이 고여 이건 사랑 맞아 한참 노려봐 내 손에 뚝 떨어지길 기다리고 있어 싶어 손쉽게 낭만적인 fairy tale 오를 때 두 발아래 난 아찔해 좀 더 길게 팔을 뻗어도 닿지 않아 뒤꿈치를 들어도 손에 쥘 수 없는 love 이러다가 나만 다치겠어 youll hurt 쌉싸름해 dont wan na taste 뭐 그리 달콤하진 않을 것 같애 감정들이 feel afraid ill never bite ill never bite pain 눈물 나게 시큼한 맛 그런 게 만약 사랑이면 싶지 않아 feel afraid love sour love sour grapes 스치면 가끔씩은 맘 끝이 좀 떨리기도 했어 느껴보는 heart 한 입 정도 깨문다면 어떨까도 했어 열매에 시선을 다 뺏긴 채 끝에 달린 grapes 달달할까 상상해 한 걸음씩 거릴 좁혀도 너의 손을 잡을 수는 없는걸 저 너머 위에 놓인 love 나만 괜히 상처받긴 싫어 youll hurt 쌉싸름해 dont wan na taste 뭐 그리 달콤하진 않을 것 같애 감정들이 feel afraid ill never bite ill never bite pain 눈물 나게 시큼한 맛 그런 게 만약 사랑이면 싶지 않아 feel afraid love sour love sour grapes 마 딱히 널 좋아한 적 없으니까 아쉽지가 않다니까 날 속여 day night 어설프게 익지 않은 grapes 아마도 내겐 때가 아닌 것 같애 아직 설익은 네 scent im feeling scared im feeling scared yeah 눈물 나게 시큼한 맛 그런 게 만약 사랑이면 싶지 않아 feel afraid love sour love sour grapes poem romanizationpoem ru ru ru ru du du yeah nado moreuge dalkomhae nan chimi goyeo igeon sarang maja hancham noryeobwa nae sone ttuk tteoreojigil gidarigo isseo sipeo sonswipge nangmanjeogin fairy tale oreul ttae du bararae nan ajjilhae jom deo gilge pareul ppeodeodo dahji anha dwikkumchireul deureodo sone jwil su eopsneun love ireodaga naman dachigesseo youll hurt ssapssareumhae dont wan na taste mwo geuri dalkomhajin anheul geot gatae gamjeongdeuri feel afraid ill never bite ill never bite pain nunmul nage sikeumhan mas geureon ge manyak sarangimyeon sipji anha feel afraid love sour love sour grapes seuchimyeon gakkeumssigeun mam kkeuti jom tteolligido haesseo neukkyeoboneun heart han ip jeongdo kkaemundamyeon eotteolkkado haesseo yeolmaee siseoneul da ppaesgin chae kkeute dallin grapes daldalhalkka sangsanghae han georeumssik georil jophyeodo neoui soneul jabeul suneun eopsneungeol jeo neomeo wie nohin love naman gwaenhi sangcheobatgin silheo youll hurt ssapssareumhae dont wan na taste mwo geuri dalkomhajin anheul geot gatae gamjeongdeuri feel afraid ill never bite ill never bite pain nunmul nage sikeumhan mas geureon ge manyak sarangimyeon sipji anha feel afraid love sour love sour grapes ttakhi neol johahan jeok eopseunikka aswipjiga anhdanikka nal sogyeo day night eoseolpeuge ikji anheun grapes amado naegen ttaega anin geot gatae ajik seorigeun ne scent im feeling scared im feeling scared yeah nunmul nage sikeumhan mas geureon ge manyak sarangimyeon sipji anha feel afraid love sour love sour grapes poem englishpoem ru ru ru ru du du yeah dont know either sweet im mouthwatered love staring long time im waiting fall hands want easily romantic fairy tale climb ladder feel dizzy feet even stretch arms little longer cant reach even lift heels cant held one hand im one whos going get hurt youll hurt bittersweet dont wan na taste dont think gon na sweet halfbaked emotions feel afraid ill never bite ill never bite pain taste makes cry thats love dont want taste feel afraid love sour love sour grapes eyes wandered around sometimes heart trembled first time heart feels like wondering could take bite ones eyes drawn red fruit imagine grapes ends branches sweet even narrow distance one step time cant hold hand top ladder dont want one gets hurt youll hurt bitter dont wan na taste well dont think gon na sweet halfbaked emotions feel afraid ill never bite ill never bite pain taste makes cry thats love dont want taste feel afraid love sour love sour grapes get wrong never really liked dont feel bit sorry lie day night ripe yet maybe right time green still ripe scent im feeling scared im feeling scared yeah taste makes cry thats love dont want taste feel afraid love sour love sour grapes
3,9,The Great Mermaid,Le Sserafim,never cost matter wont give one day voice beautiful tail mine dont wan na sacrifice living life ill keep everything want cant turn seafoam give wont give giving nothing mess thought easy dont give need yeah dont give sht love golden prince dont need twisted love story yo lock load want style single sacrifice story yo give lock load nanana na nanana nanana na nanana nanana na nanana ocean nanana na nanana nanana na nanana nanana na nanana ocean voice crazy disappear whats wrong words arent liar witch says witch dont listen turn ocean smother world sea dream grows way stopping give turns truth living life ill keep everything want cant turn seafoam give wont give giving nothing mess thought easy dont give need yeah dont give sht love golden prince dont need twisted love story yo lock load want style single sacrifice story yo give lock load nanana na nanana nanana na nanana nanana na nanana ocean nanana na nanana nanana na nanana nanana na nanana ocean
4,1,Forever 1 (song),Girls-Generation,forever 1 love love stopping make world beautiful love would say loud forever spill stories tell simply gave like hesitation following heart baby ill run hold love everything forever one give passionate heart excitement like love bomb one forever yeah still forever 1 never keep still forever 1 forever yeah still forever 1 close never let go heart racing ever hurt mind know side end moment know love crazy always baby lets love remember love everything forever one give passionate heart excitement like love bomb one forever yeah still forever 1 never keep still forever 1 forever yeah still forever 1 always become stronger think one like one like well together forever lived world said love next life cause one love everything forever one give passionate heart excitement like love bomb one forever yeah still forever 1 never keep still forever 1 forever yeah still forever 1
5,2,Into the New World (song),Girls-Generation,want tell even though sad times already past eyes feel moved heart gaze wait special miracle theres roug road front us unknowable future obstacles wont change cant give unchanged love also wounded heart eyes words needed time stopped love like longed end wandering leave behind worlds unending sadness many unknowable paths follow dim light something well together end new world wait special miracle theres roug road front us unknowable future obstacles wont change cant give unchanged love also wounded heart eyes words needed time stopped love like longed end wandering leave behind worlds unending sadness many unknowable paths follow dim light something well together end new alone dark night soft breath moment warmly entwines want tell tremors love like longed end wandering leave behind worlds unending sadness ooh yeah get stronger thinking helps wont cry together feeling moment new world
6,3,Gee (song),Girls-Generation,aha listen boy first love story angel girls sunshine uh uh lets go youre handsome im blinded cant breathe im trembling gee gee gee gee baby baby baby gee gee gee gee baby baby baby oh feel embarrassed cant look feel shy ive fallen love gee gee gee gee baby baby baby gee gee gee gee babababababa trembling heart trembling heart thump thump heart keeps thumping cant fall asleep night guess im fool fool knows yes look bright eyes blinded im surprised oh oh oh oh oh exciting body trembling gee gee gee gee gee oh glittering eyes oh yeah oh sweet scent oh yeah yeah yeah oh pretty heart pretty captured first glance gee gee gee gee baby baby baby gee gee gee gee baby baby baby cant touch hot im engulfed loves fire completely gee gee gee gee baby baby baby gee gee gee gee babababababa shy shy dont know dont know dont know everyday long close friends tell im really helpless fool look bright eyes blinded im surprised oh oh oh oh oh exciting body trembling gee gee gee gee gee oh glittering eyes oh yeah oh sweet scent oh yeah yeah yeah couldnt even say anything im embarrassed courage would right thing pitapat heart anxious im looking bright eyes blinded im surprised oh oh oh oh oh exciting body trembling gee gee gee gee gee oh glittering eyes oh yeah oh sweet scent oh yeah yeah yeah bright eyes blinded im surprised oh oh oh oh oh exciting body trembling gee gee gee gee gee oh glittering eyes oh yeah oh sweet scent oh yeah yeah yeah
7,4,Lion Heart (song),Girls-Generation,first met ooh circled like lion looked chance stole heart havent changed youre still im burning burning inside look places looking next prey shouldve pushed away hundreds times shouldve left hundreds times tell heart keep shaking im right right next snap lion heart love burning heart wont cool wan na tame heart jumps around lion heart youre free soul youre still stay true instincts cant see front think hundreds times thousand times answer tell heart keep shaking im right right next snap lion heart love burning heart wont cool wan na tame heart jumps around lion heart serious serious fast asleep baby serious youre trouble poked nose im getting mad tell heart keep shaking im right right next snap lion heart yeah love burning heart wont cool cool wont cool wan na tame heart jumps around lion heart wan na tame lion heart lion heart yall know im talking right yeah always arent good times need happy eyes faster wind hot heart words warmer sun cold head wan na tame lion heart lionlike lion heart today sit today stay side today look girls lion heart
8,5,Snowy Wish,Girls-Generation,dont know long since taken heart small heart always cold warming perhaps two us spent long time looking didnt know right next felt lonely come closer hug tightly want express heart beats didnt know clear eyes yesterday give comfort like white snowflakes one day one month one year two years pass mysterious attraction us might disappear feel like world know even though said friends honestly didnt realize genuine smile time perhaps two us spent long time looking didnt know right next felt lonely like fool come closer hug tightly want express heart beats didnt know clear eyes yesterday give comfort like white snowflakes one day one month one year two years pass mysterious attraction us might disappear feel like world know look streets changed snowy roads completely covered white want walk arms top first snow saw together come closer hug tightly something tell right im really thankful love much air measured like one day one month one year two years pass mysterious attraction us might disappear even say even could happen still love believe though like black hair though snow may fall head feel like world know
9,6,Party (song),Girls-Generation,hey girls know time must party time go hey summer turn radio favorite song playing hey turn hot beach drive takes rhythm summer oh oh oh run wind blows window right yeah yeah yeah yeah yeah singing yeah yeah yeah yeah yeah voices louder louder join sound waves run go cant stop stop stop party time keep going party time party gon na rock rock rock sandy beach party party lemon soju tequila mojito go jeju california rome lets go fun beach cute waves finito party party love summer forget job running summertime hey turn blue sky sweet like water oh oh oh bright summer together yeah yeah yeah singing yeah yeah yeah yeah yeah heart beating higher higher hurry raise glass shot go cant stop stop stop party time keep going party time party gon na rock rock rock sandy beach party party lemon soju tequila mojito go jeju california rome lets go fun beach cute waves finito party party summer call us even comes stop party times go night long cant stop stop stop party time keep going party time party gon na rock rock rock sandy beach party party lemon soju tequila mojito party time go jeju california rome yeah yeah yeah lets go fun beach cute waves finito party party party time
