,NO,song,resource,Web
,1,Nxde,Wiki_f,
,2,TOMBOY,Wiki_f,
,3,MY_BAG,Wiki_f,
,4,LOVE,Wiki_f,
,5,Change,Wiki_f,
,6,Dumdi_Dumdi,Wiki_f,
,7,LATATA,Wiki_f,
,8,Never_Stop_Me,Wiki_f,
,9,HWAA,Wiki_f,
,10,LION,Wiki_f,
,11,HANN_(Alone),Wiki_f,https://g-i-dle.fandom.com/wiki/HANN_(Alone)
,12,Uh-Oh,Wiki_f,https://g-i-dle.fandom.com/wiki/Uh-Oh
,13,Senorita,Wiki_f,https://g-i-dle.fandom.com/wiki/Senorita
,14,Oh_my_god,Wiki_f,https://g-i-dle.fandom.com/wiki/Oh_my_god
,15,POP/STARS,Wiki_f,https://g-i-dle.fandom.com/wiki/POP/STARS
,16,VILLAIN_DIES,Wiki_f,https://g-i-dle.fandom.com/wiki/VILLAIN_DIES
,17,MOON,Wiki_f,https://g-i-dle.fandom.com/wiki/MOON
,18,ESCAPE,Wiki_f,https://g-i-dle.fandom.com/wiki/ESCAPE
,19,Luv_U,Wiki_f,https://g-i-dle.fandom.com/wiki/Luv_U
,20,POLAROID,Wiki_f,https://g-i-dle.fandom.com/wiki/POLAROID
