,NO,song,resource,Web
,1,Illusion,Wiki_f,https://aespa.fandom.com/wiki/Illusion
,2,Next_Level,Wiki_f,https://aespa.fandom.com/wiki/Next_Level
,3,Savage_(song),Wiki_f,https://aespa.fandom.com/wiki/Savage_(song)
,4,Girls_(song),Wiki_f,https://aespa.fandom.com/wiki/Girls_(song)
,5,Black_Mamba,Wiki_f,https://aespa.fandom.com/wiki/Black_Mamba
,6,Dreams_Come_True,Wiki_f,https://aespa.fandom.com/wiki/Dreams_Come_True
,7,Life%27s_Too_Short_(English_Ver.),Wiki_f,https://aespa.fandom.com/wiki/Life%27s_Too_Short_(English_Ver.)
,8,Aenergy,Wiki_f,https://aespa.fandom.com/wiki/Aenergy
,9,Forever,Wiki_f,https://aespa.fandom.com/wiki/Forever
,10,YEPPI_YEPPI,Wiki_f,https://aespa.fandom.com/wiki/YEPPI_YEPPI
,11,Life%27s_Too_Short,Wiki_f,https://kpop.fandom.com/wiki/Life%27s_Too_Short
,12,ICU,Wiki_f,https://aespa.fandom.com/wiki/ICU
,13,Lucid_Dream,Wiki_f,https://aespa.fandom.com/wiki/Lucid_Dream
,14,ICONIC,Wiki_f,https://aespa.fandom.com/wiki/ICONIC
,15,I%27ll_Make_You_Cry,Wiki_f,https://aespa.fandom.com/wiki/I%27ll_Make_You_Cry
