,NO,song,resource,Web
,1,Shut_Down,Wiki_f,https://black-pink.fandom.com/wiki/Shut_Down
,2,Pink_Venom,Wiki_f,https://black-pink.fandom.com/wiki/Pink_Venom
,3,Lovesick_Girls,Wiki_f,https://black-pink.fandom.com/wiki/Lovesick_Girls
,4,As_If_It%27s_Your_Last,Wiki_f,https://black-pink.fandom.com/wiki/As_If_It%27s_Your_Last
,5,How_You_Like_That,Wiki_f,https://black-pink.fandom.com/wiki/How_You_Like_That
,6,Playing_With_Fire,Wiki_f,https://black-pink.fandom.com/wiki/Playing_With_Fire
,7,Ready_For_Love,Wiki_f,https://black-pink.fandom.com/wiki/Ready_For_Love
,8,Forever_Young,Wiki_f,https://black-pink.fandom.com/wiki/Forever_Young
,9,Ddu-Du_Ddu-Du,Wiki_f,https://black-pink.fandom.com/wiki/Ddu-Du_Ddu-Du
,10,Yeah_Yeah_Yeah,Wiki_f,https://kpop.fandom.com/wiki/Blue_%26_Black
,11,Kill_This_Love,Wiki_f,https://black-pink.fandom.com/wiki/Kill_This_Love
,12,Stay,Wiki_f,https://black-pink.fandom.com/wiki/Stay
,13,Typa_Girl,Wiki_f,https://black-pink.fandom.com/wiki/Typa_Girl
,14,Pretty_Savage,Wiki_f,https://black-pink.fandom.com/wiki/Pretty_Savage
,15,Boombayah,Wiki_f,https://black-pink.fandom.com/wiki/Boombayah
,16,Hard_to_Love,Wiki_f,https://black-pink.fandom.com/wiki/Hard_to_Love
,17,Don%27t_Know_What_To_Do,Wiki_f,https://black-pink.fandom.com/wiki/Don%27t_Know_What_To_Do
,18,Whistle,Wiki_f,https://black-pink.fandom.com/wiki/Whistle
,19,The_Happiest_Girl,Wiki_f,https://black-pink.fandom.com/wiki/The_Happiest_Girl
,20,Tally,Wiki_f,https://black-pink.fandom.com/wiki/Tally
