,NO,song,resource,Web
,1,Still_Life,Wiki_f,https://bigbangkpop.fandom.com/wiki/Still_Life
,2,Lies,Wiki_f,https://bigbangkpop.fandom.com/wiki/Lies
,3,Last_Dance,Wiki_f,https://bigbangkpop.fandom.com/wiki/Last_Dance
,4,Always_(song),Wiki_f,https://bigbangkpop.fandom.com/wiki/Always_(song)
,5,Bang_Bang_Bang,Wiki_f,https://bigbangkpop.fandom.com/wiki/Bang_Bang_Bang
,6,Flower_Road,Wiki_f,https://bigbangkpop.fandom.com/wiki/Flower_Road
,7,Last_Farewell,Wiki_f,https://bigbangkpop.fandom.com/wiki/Last_Farewell
,8,Blue,Wiki_f,https://bigbangkpop.fandom.com/wiki/Blue
,9,Fantastic_Baby,Wiki_f,https://bigbangkpop.fandom.com/wiki/Fantastic_Baby
,10,FXXK_IT,Wiki_f,https://bigbangkpop.fandom.com/wiki/FXXK_IT
