,NO,song,resource,Web
,1,Forever_1_(song),Wiki_f,https://girls-generation.fandom.com/wiki/Forever_1_(song)
,2,Into_the_New_World_(song),Wiki_f,https://girls-generation.fandom.com/wiki/Into_the_New_World_(song)
,3,Gee_(song),Wiki_f,https://girls-generation.fandom.com/wiki/Gee_(song)
,4,Lion_Heart_(song),Wiki_f,https://girls-generation.fandom.com/wiki/Lion_Heart_(song)
,5,Snowy_Wish,Wiki_f,https://girls-generation.fandom.com/wiki/Snowy_Wish
,6,Party_(song),Wiki_f,https://girls-generation.fandom.com/wiki/Party_(song)
,7,Tell_Me_Your_Wish_(Genie)_(song),Wiki_f,https://girls-generation.fandom.com/wiki/Tell_Me_Your_Wish_(Genie)_(song)
,8,Oh!_(song),Wiki_f,https://girls-generation.fandom.com/wiki/Oh!_(song)
,9,Way_to_Go!,Wiki_f,https://girls-generation.fandom.com/wiki/Way_to_Go!
,10,Kissing_You_(song),Wiki_f,https://girls-generation.fandom.com/wiki/Kissing_You_(song)
