,NO,song,resource,Web
,1,SNEAKERS,Wiki_f,https://itzy.fandom.com/wiki/SNEAKERS
,2,DALLA_DALLA,Wiki_f,https://itzy.fandom.com/wiki/DALLA_DALLA
,3,WANNABE,Wiki_f,https://itzy.fandom.com/wiki/WANNABE
,4,LOCO,Wiki_f,https://itzy.fandom.com/wiki/LOCO
,5,In_the_morning,Wiki_f,https://itzy.fandom.com/wiki/In_the_morning
,6,Boys_Like_You,Wiki_f,https://itzy.fandom.com/wiki/Boys_Like_You
,7,ICY,Wiki_f,https://itzy.fandom.com/wiki/ICY
,8,Not_Shy,Wiki_f,https://itzy.fandom.com/wiki/Not_Shy
,9,Twenty,Wiki_f,https://itzy.fandom.com/wiki/Twenty
,10,Sorry_Not_Sorry,Wiki_f,https://itzy.fandom.com/wiki/Sorry_Not_Sorry
