,NO,song,resource,Web
,1,hold_my_hand,,
,2,Strawberry_Moon,,
,3,Celebrity,Wiki_f,https://kpop.fandom.com/wiki/Celebrity
,4,Christmas_Carol_Medley,Wiki_f,https://loonatheworld.fandom.com/wiki/Christmas_Carol_Medley
,5,Blueming,Wiki_f,https://i-u.fandom.com/wiki/Blueming
,6,Eight_(Prod._%26_Feat._Suga_of_BTS),Wiki_f,https://bts.fandom.com/wiki/Eight_(Prod._%26_Feat._Suga_of_BTS)
,7,My_Sea,Wiki_f,https://planet999.fandom.com/wiki/My_Sea
,8,I_Give_You_My_Heart,Wiki_f,https://i-u.fandom.com/wiki/I_Give_You_My_Heart
,9,Love_Poem_(single),Wiki_f,https://kpop.fandom.com/wiki/Love_Poem_(single)
,10,IU_-_Meaning_of_you_Ft._Kim_Chang_Wan,Wiki_f,https://sayyes.fandom.com/es/wiki/IU_-_Meaning_of_you_Ft._Kim_Chang_Wan
,11,Autumn_Morning,Wiki_f,https://kpop.fandom.com/wiki/Autumn_Morning
,12,Palette,Wiki_f,https://i-u.fandom.com/wiki/Palette
