,NO,song,resource,Web
,1,Birthday,,
,2,Feel_My_Rhythm,Wiki_f,https://redvelvet.fandom.com/wiki/Feel_My_Rhythm
,3,On_A_Ride,Wiki_f,https://redvelvet.fandom.com/wiki/On_A_Ride
,4,BYE_BYE,Wiki_f,https://redvelvet.fandom.com/wiki/BYE_BYE
,5,Zoom,Wiki_f,https://redvelvet.fandom.com/wiki/Zoom
,6,Celebrate,Wiki_f,https://redvelvet.fandom.com/wiki/Celebrate
,7,Psycho,Wiki_f,https://redvelvet.fandom.com/wiki/Psycho
,8,Queendom,Wiki_f,https://redvelvet.fandom.com/wiki/Queendom
,9,Red_Flavor,Wiki_f,https://redvelvet.fandom.com/wiki/Red_Flavor
,10,Bad_Boy,Wiki_f,https://redvelvet.fandom.com/wiki/Bad_Boy
,11,Russian_Roulette,Wiki_f,https://redvelvet.fandom.com/wiki/Russian_Roulette
,12,Peek-A-Boo,Wiki_f,https://redvelvet.fandom.com/wiki/Peek-A-Boo
,13,Ice_Cream_Cake_(song),Wiki_f,https://redvelvet.fandom.com/wiki/Ice_Cream_Cake_(song)
,14,Power_Up,Wiki_f,https://redvelvet.fandom.com/wiki/Power_Up
,15,Rookie,Wiki_f,https://redvelvet.fandom.com/wiki/Rookie
,16,Dumb_Dumb,Wiki_f,https://redvelvet.fandom.com/wiki/Dumb_Dumb
,17,Wish_Tree,Wiki_f,https://redvelvet.fandom.com/wiki/Wish_Tree
,18,Umpah_Umpah,Wiki_f,https://redvelvet.fandom.com/wiki/Umpah_Umpah
,19,Happiness,Wiki_f,https://redvelvet.fandom.com/wiki/Happiness
,20,Zimzalabim,Wiki_f,https://redvelvet.fandom.com/wiki/Zimzalabim
,21,RBB_(Really_Bad_Boy),Wiki_f,https://redvelvet.fandom.com/wiki/RBB_(Really_Bad_Boy)
