,song,group,lyrics,source
0,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],BTS,"It is not Dan, but it is not Dan (OH, Redone).We are, we are the Dreamers We Make it Happy 'CAUSE We will see it here's to the One that Keep the Passion Respect, OH, Yeah here's to the One that can Imagine Respect, OH, YEHIt is not Dan (no Dan), but he is not Dan (Danny Ya Dan).If you Wanna Come, comes with me (Come on, Come on) The door is open every day (Come on) This one plus Two, rendzvous, all incited this What we do, how we do look who is one, we are theDreamers We Make it Happy 'Cause We Beive It Look Who We are, We are the Dreamers We Make it Happy' CAUSE We We See It HERETINES The The The One., OH, Yeah is not not that he is not Dan (Danny, Dan)It is not Dan (no Dan), not it is not Dan (Danny, Dan), not it is not Dan (Look Who We Are, We are the Dreamers We Make it Happy 'Cause We We AreDreamers We Make it Happy 'Cause Wen See It's to the One that Keep the Passion Respect, OH, Yeah Here's to the One that can Imagine Respect, OH, Yeah is not Dan (Danny Ya Dan) is not Dan (No Dan) is not Dan (Danny, Dan), it is not Dan (no Dan)",0
1,Yet To Come,BTS,"WAS It Honestly the Best?'Cause I Just Wanna See The Next Yesterday, it's beautiful in yesterday, the paste honestly the best but my best is what come any playlin'I, BEST MOMENT Is Yet to Come  Moment is Yet to Come, Yeah Everybody talks about it.More MY MY MOMENT Is Yet to Come, yet to come uh, do you dream?What is the end of that road?Moment is yet to come, yeah uh, night when everyone breathes, we don't stop my feet yet to come uh, we gonna toch the skyThe best yet to come, the uncomfortable modifier ""the best"" is still unfamiliar.All a Lie, yeah I have changed a lot, but it hasn't changed a new chapter, every moment is new, I am the best now I spit like me at the age of thirteen, and HUH still has a lot to learn and I have a lot of life to fill my life.This says we ain't about it, this world's expectation We ain't About it, the best standard Step (we ain't about about it) crowns and flowers, numerous trophy Dream and andHope and Goin ’Forward (We so About It) Turn around the long circle, and after all, back to one deep somewhere in your heart.What is the end of that road?Moment is yet to come, yeah uh, night when everyone breathes, we don't stop my feet yet to come uh, we gonna toch the skyHey, The Best Yet to Come It Honestly the Best?'Cause I Just Wanna See The Next, beautiful in the remnants that have passed by, Yeah, The pastly the best but my best is what come come next we'll be singin'I, BEST MOMENT Is yet to come",0
2,Run BTS,BTS,"Yeah, yeah Okay run, run (oh, oh, oh, oh) Okay, Okay, let's go!Nonhyeon back meter after our school school, company calling (eg, yes) I'll go right now.T Wanna Go, Go Back Again Let's Go, Let's Go, Let's Go 10 years WAIT, WAIT (Weh from the Bottom) I Caught You Bae, BAE) Tell Me What You Wanna, Tell Me What You Wanna, Who Live Fast, Let Us Die Young Soul (Make it Move, Left and Right)This gasoline, yeah, yeah, let's go now, are you ready?Yeah, yeah (Okay, let's go) run, Bulletproof, run, yeah, you gotta run (run, run) run, Bulletproof, run, yeah, you gotta run (run, run)Gotta Run (run, run) run, Bulletproof, run (Okay, Okay, Let's Go) I was hit, and the reasons for the success of the bulletproof bulletproof.?I don't know where that's where we're all lucky, whatever we say, the answer is here (OKAY), Got Them (Got Them) Good Music, Got Them (Got Them) GOODTeam?Goddamn (OH, YEAH) You SAID You Hot (You Hot) Oh Man, You Not (You Not) Bulletproofing on top of the guy, let's go for 10 years, wait (we from the bottom) I caught you, BAE (we're a little faster) We Seven Mate, Mates (Well, Well, We Got Us) Tell Me What You Wanna, Tell Me What You Wanna, WHOA IF We Live Fast, Let Us Die Young, Left and right (Make it Move, Left and Right) Two bare feet are our gasoline, yeah, yeah now, are you ready?Yeah, yeah, yeah (let's go!) Run, bulletproof, run, yeah, you gotta run (run, run) run, bulletproof, run, yeah, you gotta run (run, run)You Gotta Run (run, run) run, bulletproof, run  skrrt ignorant faith, run with two legs, that's how we do it all (ay, Ayy).) Jimin, V, Paleful S, Namjuni, Hop, Hope S, Jin Ki -hyung, Jin, Paleful S, Jungkook, all So Thanks Get Ready, Get Ready, Get Ready, Get Ready, Get ReadyGo Get IT, Go Get IT, Go Get IT, Go Get IT, Run If We Live Fast, Let Us Die Young Soul (Make it Move, Left and Right)RIGHT) Two bare feet are our gasoline, yeah, yeah now, are you ready?run",0
3,Nxde,(G)I-DLE,"Why You Think That 'BOUT NUDE?'Cause Your View' SO RUDE Think Outside The Box, they'll Like It Hello, My Name IS Yepi, the stupid body is sexy sexy.), Lolelai's twisted Lolelai Don't Need No Man (YAH) Reading Light (HUH), Self-Made WOMAN Audiosity Audiences, You Tricked Me, You 'Re -a Liar Oh, the naked Movie Star (Movie Star) Ah, even though the night is broken, even if the night is broken, even if it is broken (UH)According to yes, I'm a nude nude (I don't get a love) baby, how do I look?(Hey) How do I look?(Hey) Wear a beautiful day, follow the Baby, How do I look?(Hey) How do I look?(Hey) I'm wearing a beautiful day, excuse Ouch along the Tatar, if you've been looking forward to all (AH) work here (AH) OH, I'm Sorry, no refund is that the public is interesting (UH) even if you throw the popcorn over there (UH), Dumb (Dumb) Happiness and inverse rating, but my peak prejudice will be vomited.) I'm not loved again SHH, Yes, I'm a nude nude (Tatarat) yes, I'm a nude nude (I don't get a love) baby, How do I look?(Hey) How do I look?(Hey) Wear a beautiful day, follow the Baby, How do I look?(Hey) How do I look?(Hey) Wearing a beautiful day, followed by MMH-AH, MMH-AH, MMH-AH, MMH YES, I'm a nude, Yes, I'm a nude Nude?nude?'Cause your view' so rude Think Outside the box",0
4,Bad Decisions (with BTS & Snoop Dogg),BTS,"Radio station, B-T-S-N double O-P No makeup, I love that sh- You're so damn beautiful, I swear you make me sick I want your love, I want a name Inside my heart, there's nothin' but a burning flame If you want my love Come a little bit closer Don't make me wait Let's make some bad decisions I want you, ooh, baby, all of the time So give me all your kisses I want you Monday, Tuesday, Wednesday Baby, every night And it feels like (ooh, ah) I can't seem to ever get you out of my mind And it feels like (ooh, ah) I want you, ooh, baby, all of the time Everybody see me lookin' fly (fly, oh, yeah) And I think I know the reason why (why, oh, yeah) 'Cause I got you right here by my side (side, oh, yeah) And I can't let you just walk away If I ain't with ya, I'm not okay If you want my love (yeah) Come a little bit closer Don't make me wait (ooh) Let's make some bad decisions I want you, ooh, baby, all of the time So give me all your kisses (kisses) I want you Monday, Tuesday, Wednesday Baby, every night (every night) And it feels like (ooh, ah, yeah) I can't seem to ever get you out of my mind And it feels like (ooh, ah) I want you, ooh, baby, all of the time Let's do things you always wanted Have some fun and live your life Help me waste a day and find a place That we can face to face Let me show you 'round my hood There's bad meaning bad like bad meaning good When it comes to rules, I break 'em Let's make some bad decisions I want you, ooh, baby, all of the time So give me (give me) all your kisses (kisses) I want you Monday, Tuesday, Wednesday Baby, every night And it feels like (ooh, yes, ah, yes) I can't seem to ever get you out of my mind And it feels like (ooh, say what? Ah) I want you, ooh, baby, all of the time (ooh)",0
5,Dynamite,BTS,"'Cause I, I, I'm in the stars tonight So, watch me bring the fire, and set the night alight Your shoes on, get up in the morn' Cup of milk, let's rock 'n' roll King Kong, kick the drum Rolling on like a Rolling Stone Sing-song when I'm walking home Jump up to the top, LeBron Ding-dong, call me on my phone Ice tea and a game of ping pong This is getting heavy, can you hear the bass boom? I'm ready (woo-hoo) Life is sweet as honey, yeah, this beat cha-ching like money, huh Disco overload, I'm into that, I'm good to go I'm diamond, you know I glow up Hey, so let's go 'Cause I, I, I'm in the stars tonight So watch me bring the fire, and set the night alight (hey) Shining through the city with a little funk and soul So I'ma light it up like dynamite, whoa-oh-oh Bring a friend, join the crowd, whoever wanna come along Word up, talk the talk, just move like we off the wall Day or night, the sky's alight, so we dance to the break of dawn (hey) Ladies and gentlemen, I got the medicine So you should keep ya eyes on the ball, huh This is getting heavy, can you hear the bass boom? I'm ready (woo-hoo) Life is sweet as honey, yeah, this beat cha-ching like money, huh Disco overload, I'm into that, I'm good to go I'm diamond, you know I glow up Let's go 'Cause I, I, I'm in the stars tonight So watch me bring the fire, and set the night alight (hey) Shining through the city with a little funk and soul So I'ma light it up like dynamite, whoa-oh-oh Dyn-na-na-na, na-na-na-na-na, na-na-na, life is dynamite Dyn-na-na-na, na-na-na-na-na, na-na-na, life is dynamite Shining through the city with a little funk and soul So I'ma light it up like dynamite, whoa-oh-oh Dyn-na-na-na, na-na, na-na, ayy Dyn-na-na-na, na-na, na-na, ayy Dyn-na-na-na, na-na, na-na, ayy Light it up like dynamite Dyn-na-na-na, na-na, na-na, ayy Dyn-na-na-na, na-na, na-na, ayy Dyn-na-na-na, na-na, na-na, ayy Light it up like dynamite 'Cause I, I, I'm in the stars tonight So watch me bring the fire, and set the night alight Shining through the city with a little funk and soul So I'ma light it up like dynamite (This is ah) 'cause I, I, I'm in the stars tonight So watch me bring the fire, and set the night alight (alight, oh) Shining through the city with a little funk and soul So I'ma light it up like dynamite, whoa-oh-oh (light it up like dynamite) Dyn-na-na-na, na-na-na-na-na, na-na-na, life is dynamite (life is dynamite) Dyn-na-na-na, na-na-na-na-na, na-na-na, life is dynamite (oh) Shining through the city with a little funk and soul So I'ma light it up like dynamite, whoa-oh-oh",0
6,Left and Right (Feat. Jung Kook of BTS),BTS,"Memories follow me left and right I can feel you over here, I can feel you over here You take up every corner of my mind (what ya gon' do now?) Ever since the-the day you you ran away (no, I don't know how) How to erase your body from out my brain (what ya gon' do now?) Maybe I should just focus on me instead (you're all I think about) All the nights we were tangled up in your bed Oh, no (oh, no) oh, no (oh, no) You're going 'round in circles Got you stuck up in my head, yeah Memories follow me left and right I can feel you over here, I can feel you over here You take up every corner of my mind Your love stays with me day and night I can feel you over here, I can feel you over here You take up every corner of my mind (what ya gon' do now?) Ever since the-the day that you went away (someone tell me how) How much more do I gotta drink for the pain? (What ya gon' do now?) You do things to me that I just can't forget (you're all I think about) All the nights we were tangled up in your bed Oh, no (oh, no) oh, no (oh, no) You're going 'round in circles Got you stuck up in my head, yeah Memories follow me left and right I can feel you over here, I can feel you over here You take up every corner of my mind (of my mind) Your love stays with me day and night I can feel you over here, I can feel you over here You take up every corner of my mind (what ya gon' do now?) Did you know you're the one that got away? And even now, baby, I'm still not okay Did you know that my dreams, they're all the same? Every time I close my eyes Memories follow me left and right I can feel you over here, I can feel you over here You take up every corner of my mind (what ya gon' do now?) Your love stays with me day and night I can feel you over here, I can feel you over here You take up every corner of my mind (what ya gon' do now?) I can feel you over here, I can feel you over here You take up every corner of my mind (what ya gon' do now?)",0
7,Talk that Talk,TWICE,"Eyes looking at me, smiling lips, I like it, I like it (Oh, yeah) a to z, that's right (that's right) But I wantna skip (just skip), more decisive Thing (that thing)I want to turn it, not the introduction (I mean l-word) more-more-more-more-more, more, more, you-you-you-you, you, you, please let me know (let me know)You are crosswords Pippi Pippi, The Time is Up, I think I already know, but I want to hear it immediately with your voice, Baby, my answer is obvious, Yes or YES?I don't like waste of time to push or pull it (Ah-ha) Daringly Say it Now, I want one to ten (Yeah), will you start with you want, tel me what you need a to z, butStart like this Talk that talk, just one word, Talk that talk, L-O-V-E, OOH, NOW, NOW, NOW, NOW, NOW, NOW, YEAH (Yeah, Turn it Up) Your eyes look, look, look, rollRoll, Roll I read, what's going on and coming between the eyes, the words that come and go between the eyes, one, two, three (just one, two, three)That'S my only request) Baby, we hug me sweetly, Tell Me Now (Just Tell Me Now) sometimes knows that it's more obvious.RIGHT NOW TELL ME What You Want, Tell Me What You Need a to Z, Tell me, start like this (do this) Talk that talk, just one word, Talk that talk, l-o-v-eNOW, NOW, NOW, YEAH Simple Words ""I Love You"" I don't want to hear it without any confusion.Z, it's all good, but I'm the best thing, but Talk that talk, just one word, talk that talk, L-O-V-E (LOVe) OH, yeah, it sounds so good (good, good, good), further fall into tell me what you want, tel me what you need, yes, just that talk that talk, just one word(LOVE, LOVE, LOVE), Talk That Talk, L-O-V-E Listen, OOH, NOW, NOW, NOW, NOW, NOW, YEAH (Yeah, Turn It Up)",0
8,CASE 143,Stray Kids,"Incident Occurrence Unforgettable incident Falling in love with fatal charm You keep stimulating me It's a problem with no source It's homework to solve Can I be your boyfriend? Attitude towards you There is not a lie, no cap I am full of words I want to say to you my case No words are enough in front of perfection You got me losing patience Uncontrollable emotion comes to mind I never feel alright Myriad emotions collide Why is this rolling in the deep inside my head You got me bad Disarming, quickly moving to you, on my way Why do I keep getting attracted Like a magnet, I cannot explain this reaction Other than this 143 Why do I keep getting attracted I can only think of you I cannot explain this emotion 143 I LOVE YOU A B C D E F G I Wanna send my code to you 8 letters is all it takes And I'm gonna let you know oh I want to soulmate (whoo) My heart is getting more and more upgrade 'cause You got me losing patience Uncontrollable emotion comes to mind Moving to you, on my way Why do I keep getting attracted Like a magnet, I cannot explain this reaction The only thing I can think of 143 Why do I keep getting attracted I can only think of you I cannot explain this emotion 143 I LOVE YOU Heartbeat Everything about me right now Crisis (Crisis) Your appearance ain't no 'false' My inner thoughts repeat (repeat) Walking next to you but I'm falling You're pulling me deeper and deeper I try to get out but I can 't stop Can I be the one? Yeah I'll be the one Reckless challenge, shriveled expression My head is pounding, my numbness is at a loss Moving, I'm on my way Why do I keep getting attracted I can only think of you I cannot explain this emotion 143 I LOVE YOU Why do I keep getting attracted I cannot explain this reaction (other than this) I'm gonna let you know (know) That I'm just gonna go (go) And hold you so I'm never letting go I' m gonna let you know (know) That I'm just gonna go (just go) Yeah I'm leaving for you right now like I'm Never letting go oh I cannot explain this emotion 143 I LOVE YOU",0
9,Butter,BTS,"Smooth like butter, like a criminal undercover Gon' pop like trouble breaking into your heart like that, ooh Cool shade, stunner, yeah, I owe it all to my mother, uh Hot like summer, yeah, I'm making you sweat like that (break it down!) Ooh, when I look in the mirror I'll melt your heart into two I got that superstar glow, so Ooh (do the boogie, like) A side step, right-left, to my beat High like the moon, rock with me, baby Know that I got that heat Let me show you 'cause talk is cheap Side step, right-left, to my beat Get it, let it roll Smooth like butter, pull you in like no other Don't need no Usher to remind me you got it bad Ain't no other that can sweep you up like a robber Straight up, I (got ya) Making you fall like that (break it down) Ooh, when I look in the mirror I'll melt your heart into two I got that superstar glow, so Ooh (do the boogie, like) Side step, right-left, to my beat High like the moon, rock with me, baby Know that I got that heat Let me show you 'cause talk is cheap A side step, right-left, to my beat Get it, let it roll  Get it, let it roll  Get it, let it roll Ice on my wrist, I'm the nice guy Got the right body and the right mind Rolling up the party, got the right vibe Smooth like (butter), hate us (love us) Fresh boy, pull up and we lay low All the players get moving when the bass low Got ARMY right behind us when we say so Let's go Side step, right-left, to my beat (right-left, to my beat) High like the moon, rock with me, baby You know that I got that heat Let me show you 'cause talk is cheap (you know that talk is cheap) Side step, right-left, to my beat Get it, let it roll Smooth like (butter), cool shade (stunner) And you know we don't stop Hot like (summer), ain't no (bummer) You'll be like, ""Oh my God"" We gon' make you rock, and you say (yeah) We gon' make you bounce, and you say (yeah) Hotter, sweeter, cooler, butter! Get it, let it roll",0
